"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","189.4","","","","1"
"2020-12","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","194.7","","","","1"
"2021-01","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","219.1","","","","1"
"2021-02","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","214.4","","","","1"
"2021-03","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","218.6","","","","1"
"2021-04","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","227.9","","","","1"
"2021-05","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","215.1","","","","1"
"2021-06","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","196.8","","","","1"
"2021-07","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","214.2","","","","1"
"2021-08","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","182.6","","","","1"
"2021-09","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","168.7","","","","1"
"2021-10","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","143.3","","","","1"
"2021-11","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","138.5","","","","1"
"2019-04","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","278.7","","","","1"
"2019-05","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","248.7","","","","1"
"2019-06","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","236.0","","","","1"
"2019-07","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","253.4","","","","1"
"2019-08","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","247.5","","","","1"
"2019-09","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","242.2","","","","1"
"2019-10","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","236.8","","","","1"
